"Qty";"Value";"Device";"Package";"Parts";"Description";"DATASHEET";"DIST";"DISTLINK";"DISTPN";"MFR";"MPN";"VALUE";
"2";"PTH VERT MALE";"1X02_PTH_VERT_MALE_2.54MM";"HDRV2W64P254_1X2_508X254X838B";"J1, J2";"2 Positions Header Connector 0.079" (2.00mm) Through Hole Tin";"https://drawings-pdf.s3.amazonaws.com/C10436.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=S1012E-02-ND";"S1012E-02-ND";"Sullins Connector Solutions";"PEC02SAAN";"PTH VERT MALE";
"1";"SML-LX0404SIUPGUSB";"SML-LX0404SIUPGUSB";"DIODFN100X100X30-4N";"LED1";"";"https://media.digikey.com/pdf/Data%20Sheets/Lumex%20PDFs/SML-LX0404SIUPGUSB.pdf";"Digikey";"https://www.digikey.com/en/products/detail/lumex-opto-components-inc/SML-LX0404SIUPGUSB/2509880?s=N4IgTCBcDaIGwHYC0YCMYCsTVIHIBEQBdAXyA";"67-2125-1-ND";"Lumex Opto/Components Inc.";"SML-LX0404SIUPGUSB";"SML-LX0404SIUPGUSB";
